folder,n_pytorch_modeling,pytorch_modeling_files,n_modular,modular_files,n_tokenization,n_processing,n_image_processing,n_feature_extraction,has_pt_modeling,has_modular,has_exact_pt_modeling,is_modular_only,is_no_modeling,all_modeling_variants
gemma4_assistant,1,modeling_gemma4_assistant.py,0,,0,0,0,0,True,False,True,False,False,modeling_gemma4_assistant.py
git,1,modeling_git.py,0,,0,1,0,0,True,False,True,False,False,modeling_git.py
glm,1,modeling_glm.py,1,modular_glm.py,0,0,0,0,True,True,True,False,False,modeling_glm.py
glm4,1,modeling_glm4.py,1,modular_glm4.py,0,0,0,0,True,True,True,False,False,modeling_glm4.py
glm46v,1,modeling_glm46v.py,1,modular_glm46v.py,0,1,2,0,True,True,True,False,False,modeling_glm46v.py
glm4_moe,1,modeling_glm4_moe.py,1,modular_glm4_moe.py,0,0,0,0,True,True,True,False,False,modeling_glm4_moe.py
glm4_moe_lite,1,modeling_glm4_moe_lite.py,1,modular_glm4_moe_lite.py,0,0,0,0,True,True,True,False,False,modeling_glm4_moe_lite.py
glm4v,1,modeling_glm4v.py,1,modular_glm4v.py,0,1,2,0,True,True,True,False,False,modeling_glm4v.py
glm4v_moe,1,modeling_glm4v_moe.py,1,modular_glm4v_moe.py,0,0,0,0,True,True,True,False,False,modeling_glm4v_moe.py
glm_image,1,modeling_glm_image.py,1,modular_glm_image.py,0,1,2,0,True,True,True,False,False,modeling_glm_image.py
glm_moe_dsa,1,modeling_glm_moe_dsa.py,1,modular_glm_moe_dsa.py,0,0,0,0,True,True,True,False,False,modeling_glm_moe_dsa.py
glm_ocr,1,modeling_glm_ocr.py,1,modular_glm_ocr.py,0,0,0,0,True,True,True,False,False,modeling_glm_ocr.py
glmasr,1,modeling_glmasr.py,1,modular_glmasr.py,0,1,0,0,True,True,True,False,False,modeling_glmasr.py
glpn,1,modeling_glpn.py,0,,0,0,2,0,True,False,True,False,False,modeling_glpn.py
got_ocr2,1,modeling_got_ocr2.py,1,modular_got_ocr2.py,0,1,2,0,True,True,True,False,False,modeling_got_ocr2.py
gpt2,1,modeling_gpt2.py,0,,1,0,0,0,True,False,True,False,False,modeling_gpt2.py
gpt_bigcode,1,modeling_gpt_bigcode.py,0,,0,0,0,0,True,False,True,False,False,modeling_gpt_bigcode.py
gpt_neo,1,modeling_gpt_neo.py,0,,0,0,0,0,True,False,True,False,False,modeling_gpt_neo.py
gpt_neox,1,modeling_gpt_neox.py,1,modular_gpt_neox.py,1,0,0,0,True,True,True,False,False,modeling_gpt_neox.py
gpt_neox_japanese,1,modeling_gpt_neox_japanese.py,0,,1,0,0,0,True,False,True,False,False,modeling_gpt_neox_japanese.py
gpt_oss,1,modeling_gpt_oss.py,1,modular_gpt_oss.py,0,0,0,0,True,True,True,False,False,modeling_gpt_oss.py
gpt_sw3,0,,0,,1,0,0,0,False,False,False,False,True,
gptj,1,modeling_gptj.py,0,,0,0,0,0,True,False,True,False,False,modeling_gptj.py
granite,1,modeling_granite.py,1,modular_granite.py,0,0,0,0,True,True,True,False,False,modeling_granite.py
granite4_vision,1,modeling_granite4_vision.py,1,modular_granite4_vision.py,0,1,0,0,True,True,True,False,False,modeling_granite4_vision.py
granite_speech,1,modeling_granite_speech.py,0,,0,1,0,1,True,False,True,False,False,modeling_granite_speech.py
granite_speech_plus,1,modeling_granite_speech_plus.py,1,modular_granite_speech_plus.py,0,0,0,0,True,True,True,False,False,modeling_granite_speech_plus.py
granitemoe,1,modeling_granitemoe.py,1,modular_granitemoe.py,0,0,0,0,True,True,True,False,False,modeling_granitemoe.py
granitemoehybrid,1,modeling_granitemoehybrid.py,1,modular_granitemoehybrid.py,0,0,0,0,True,True,True,False,False,modeling_granitemoehybrid.py
granitemoeshared,1,modeling_granitemoeshared.py,1,modular_granitemoeshared.py,0,0,0,0,True,True,True,False,False,modeling_granitemoeshared.py
grounding_dino,1,modeling_grounding_dino.py,1,modular_grounding_dino.py,0,1,2,0,True,True,True,False,False,modeling_grounding_dino.py
groupvit,1,modeling_groupvit.py,0,,0,0,0,0,True,False,True,False,False,modeling_groupvit.py
helium,1,modeling_helium.py,1,modular_helium.py,0,0,0,0,True,True,True,False,False,modeling_helium.py
herbert,0,,0,,1,0,0,0,False,False,False,False,True,
hgnet_v2,1,modeling_hgnet_v2.py,1,modular_hgnet_v2.py,0,0,0,0,True,True,True,False,False,modeling_hgnet_v2.py
hiera,1,modeling_hiera.py,0,,0,0,0,0,True,False,True,False,False,modeling_hiera.py
higgs_audio_v2,1,modeling_higgs_audio_v2.py,1,modular_higgs_audio_v2.py,0,1,0,0,True,True,True,False,False,modeling_higgs_audio_v2.py
higgs_audio_v2_tokenizer,1,modeling_higgs_audio_v2_tokenizer.py,1,modular_higgs_audio_v2_tokenizer.py,0,0,0,0,True,True,True,False,False,modeling_higgs_audio_v2_tokenizer.py
hubert,1,modeling_hubert.py,1,modular_hubert.py,0,0,0,0,True,True,True,False,False,modeling_hubert.py
hunyuan_v1_dense,1,modeling_hunyuan_v1_dense.py,1,modular_hunyuan_v1_dense.py,0,0,0,0,True,True,True,False,False,modeling_hunyuan_v1_dense.py
hunyuan_v1_moe,1,modeling_hunyuan_v1_moe.py,1,modular_hunyuan_v1_moe.py,0,0,0,0,True,True,True,False,False,modeling_hunyuan_v1_moe.py
hy_v3,1,modeling_hy_v3.py,1,modular_hy_v3.py,0,0,0,0,True,True,True,False,False,modeling_hy_v3.py
ibert,1,modeling_ibert.py,0,,0,0,0,0,True,False,True,False,False,modeling_ibert.py
idefics,1,modeling_idefics.py,0,,0,1,2,0,True,False,True,False,False,modeling_idefics.py
idefics2,1,modeling_idefics2.py,0,,0,1,2,0,True,False,True,False,False,modeling_idefics2.py
idefics3,1,modeling_idefics3.py,0,,0,1,2,0,True,False,True,False,False,modeling_idefics3.py
ijepa,1,modeling_ijepa.py,1,modular_ijepa.py,0,0,0,0,True,True,True,False,False,modeling_ijepa.py
imagegpt,1,modeling_imagegpt.py,0,,0,0,2,0,True,False,True,False,False,modeling_imagegpt.py
informer,1,modeling_informer.py,1,modular_informer.py,0,0,0,0,True,True,True,False,False,modeling_informer.py
instructblip,1,modeling_instructblip.py,0,,0,1,0,0,True,False,True,False,False,modeling_instructblip.py
instructblipvideo,1,modeling_instructblipvideo.py,1,modular_instructblipvideo.py,0,1,0,0,True,True,True,False,False,modeling_instructblipvideo.py
internvl,1,modeling_internvl.py,1,modular_internvl.py,0,1,0,0,True,True,True,False,False,modeling_internvl.py
jais2,1,modeling_jais2.py,1,modular_jais2.py,0,0,0,0,True,True,True,False,False,modeling_jais2.py
jamba,1,modeling_jamba.py,1,modular_jamba.py,0,0,0,0,True,True,True,False,False,modeling_jamba.py
janus,1,modeling_janus.py,1,modular_janus.py,0,1,2,0,True,True,True,False,False,modeling_janus.py
jetmoe,1,modeling_jetmoe.py,1,modular_jetmoe.py,0,0,0,0,True,True,True,False,False,modeling_jetmoe.py
jina_embeddings_v3,1,modeling_jina_embeddings_v3.py,1,modular_jina_embeddings_v3.py,0,0,0,0,True,True,True,False,False,modeling_jina_embeddings_v3.py
kosmos2,1,modeling_kosmos2.py,0,,0,1,0,0,True,False,True,False,False,modeling_kosmos2.py
kosmos2_5,1,modeling_kosmos2_5.py,0,,0,1,2,0,True,False,True,False,False,modeling_kosmos2_5.py
kyutai_speech_to_text,1,modeling_kyutai_speech_to_text.py,1,modular_kyutai_speech_to_text.py,0,1,0,1,True,True,True,False,False,modeling_kyutai_speech_to_text.py
laguna,1,modeling_laguna.py,1,modular_laguna.py,0,0,0,0,True,True,True,False,False,modeling_laguna.py
lasr,1,modeling_lasr.py,1,modular_lasr.py,1,1,0,1,True,True,True,False,False,modeling_lasr.py
layoutlm,1,modeling_layoutlm.py,0,,0,0,0,0,True,False,True,False,False,modeling_layoutlm.py
layoutlmv2,1,modeling_layoutlmv2.py,0,,1,1,2,0,True,False,True,False,False,modeling_layoutlmv2.py
layoutlmv3,1,modeling_layoutlmv3.py,0,,1,1,2,0,True,False,True,False,False,modeling_layoutlmv3.py
layoutxlm,0,,1,modular_layoutxlm.py,1,1,0,0,False,True,False,True,False,
led,1,modeling_led.py,0,,0,0,0,0,True,False,True,False,False,modeling_led.py
levit,1,modeling_levit.py,0,,0,0,2,0,True,False,True,False,False,modeling_levit.py
lfm2,1,modeling_lfm2.py,1,modular_lfm2.py,0,0,0,0,True,True,True,False,False,modeling_lfm2.py
