operator,scenario,pass,speedup,baseline_ms,candidate_ms,err_ratio,mean_abs_diff,failure_reason
gla_mlp,tokens-1/e58165d2,PASS,0.635602500627264,0.28794001264031976,0.45301900536287576,0.0,0.0,
gla_mlp,tokens-4/6917c948,PASS,0.43146079204062066,0.08390100265387446,0.19445799989625812,0.14124293625354767,1.152895833911316e-06,
gla_mlp,tokens-8/32a16827,PASS,0.4554611832282273,0.08636500569991767,0.1896210014820099,0.1428571492433548,1.0435644526296528e-06,
gla_mlp,tokens-32/d0d4e8f2,PASS,0.45381214110799345,0.0874800025485456,0.19276699458714575,0.15455950796604156,9.388895136908104e-07,
gla_mlp,tokens-64/6803cfef,PASS,0.45126550817222444,0.08836500637698919,0.19581599917728454,0.15600624680519104,9.83129211817868e-07,
gla_mlp,tokens-100/ad5a84b3,PASS,0.5077737136531778,25.82745700783562,50.86410799412988,0.0,0.0,
gpt_oss_moe,tokens-1/f076697a,PASS,1.0632394737652497,1.2796810042345896,1.2035679974360391,0.0,0.0,
gpt_oss_moe,tokens-4/710a7860,PASS,1.0965461925525668,1.2748489971272647,1.162604006822221,0.0,0.0,
gpt_oss_moe,tokens-32/fda84c3e,PASS,1.0413568886245674,1.2530459935078397,1.2032819940941408,0.0,0.0,
gpt_oss_moe,tokens-64/83f0dd66,PASS,1.0614863458170751,1.2949209922226146,1.2199129996588454,0.0,0.0,
gpt_oss_moe,tokens-16384/ad09eac7,PASS,1.0105544869648486,5.074562010122463,5.021561999456026,0.0,0.0,
llama_mlp,tokens-1/2e5041c5,PASS,0.5637549547954391,0.11935200018342584,0.21170900436118245,0.00038128209416754544,5.32742944869824e-07,
llama_mlp,tokens-4/0d530320,PASS,0.5617501085766762,0.11920000542886555,0.2121940051438287,0.00038137519732117653,5.476154569805658e-07,
llama_mlp,tokens-16/d8dba72b,PASS,0.5488273229771448,0.11784200614783913,0.21471599757205695,0.00038141844561323524,5.631541171169374e-07,
llama_mlp,tokens-64/0d7cbd31,PASS,0.5597970654342547,0.12665800750255585,0.22625700512435287,0.0007621835102327168,5.554516633310413e-07,
llama_mlp,tokens-16384/1a566ae9,PASS,0.5463332092494971,8.525862998794764,15.605610009515658,0.0007621950935572386,5.543243446481938e-07,
oasis_final_layer,tokens-4/87304315,PASS,1.1120038926198945,0.19278700347058475,0.17336900054942816,0.04798464477062225,3.974772653236869e-07,
oasis_final_layer,tokens-4/8fe1f9d7,PASS,0.9538865599635081,0.15477000852115452,0.1622520067030564,0.03252032399177551,2.30253192512464e-07,
oasis_final_layer,tokens-4/c8d5e8f3,PASS,0.7953996024041411,0.12967399379704148,0.16302999574691057,0.03220611810684204,1.4644724899426365e-07,
oasis_final_layer,tokens-4/e94500ac,PASS,0.7950090458632013,0.1277190021937713,0.16065100498963147,0.03207184001803398,1.6896689203349524e-06,
oasis_final_layer,tokens-4/efa0c57e,PASS,1.1367803128494867,0.19578199135139585,0.1722250017337501,0.0324886292219162,2.498317428489827e-07,
oasis_final_layer,tokens-8/1485325e,PASS,0.8622322340017978,0.1337899884674698,0.1551669993204996,0.03213367611169815,1.3934469222931511e-07,
oasis_final_layer,tokens-8/4614116e,PASS,0.7903938158723874,0.12388000322971493,0.15673199959564954,0.03220611810684204,6.315320888461429e-07,
oasis_final_layer,tokens-8/8a7e8df6,PASS,1.3631997390481303,0.32475098851136863,0.23822700313758105,0.04773269593715668,3.082585351421585e-07,
oasis_final_layer,tokens-8/e92ae901,PASS,1.2789347926738341,0.24761199892964214,0.19360799342393875,0.047755494713783264,4.259749744051078e-07,
oasis_final_layer,tokens-8/fa4a6104,PASS,1.3449520791766867,0.30772099853493273,0.22879699827171862,0.0471031554043293,4.54783133818637e-07,
oasis_mlp,tokens-4/0141f194,PASS,0.7144037984195847,0.2410869929008186,0.3374660009285435,0.0,0.0,
oasis_mlp,tokens-4/09b14356,PASS,0.6707166098093618,0.09865101310424507,0.14708300295751542,0.0,0.0,
oasis_mlp,tokens-4/9557fa41,PASS,0.6837921826717517,0.2955090021714568,0.43216200720053166,0.0,0.0,
oasis_mlp,tokens-4/a65b3480,PASS,0.6655504097475294,0.14409099821932614,0.21649900008924305,0.0,0.0,
oasis_mlp,tokens-4/f59588e6,PASS,0.6945010002059374,0.17603099695406854,0.25346399343106896,0.0,0.0,
oasis_mlp,tokens-8/2250bade,PASS,0.681234951159915,0.258995991316624,0.38018600025679916,0.0,0.0,
oasis_mlp,tokens-8/b1d5fd8e,PASS,0.6461927836844984,0.5551299982471392,0.8590779907535762,0.0,0.0,
oasis_mlp,tokens-8/bbdce5f6,PASS,0.6881864749103174,0.16823199985083193,0.24445699818897992,0.0,0.0,
oasis_mlp,tokens-8/ce289ff4,PASS,0.6700437446789089,0.3238669887650758,0.48335200699511915,0.0,0.0,
oasis_mlp,tokens-8/d33e80a2,PASS,0.6698342051456583,0.42688399844337255,0.6372979987645522,0.0,0.0,
oasis_patch_embed,tokens-4/fb88fb4e,PASS,1.5880827114508391,0.31587600824423134,0.19890400290023535,0.390625,0.0003950982354581356,
oasis_patch_embed,tokens-8/98b625bf,PASS,1.1545629163632487,0.4095049953320995,0.3546840016497299,0.390625,0.0003967566299252212,
oasis_patch_embed,tokens-8/d13abf5f,PASS,1.1513172102533822,0.04903000080958009,0.04258600529283285,0.1562500149011612,9.075546404346824e-05,
oasis_patch_embed,tokens-16/1e0e531b,PASS,1.0638414155068923,0.056056989706121385,0.05269299435894936,0.1562500149011612,9.101548494072631e-05,
oasis_patch_embed,tokens-32/f9d83f60,PASS,0.9960198538954352,0.06932100222911686,0.06959801248740405,0.1562500149011612,9.090705862035975e-05,
oasis_patch_embed,tokens-128/8bfdbe5e,PASS,0.8985368304192016,0.1568449952173978,0.17455600027460605,0.2531645596027374,9.069158841157332e-05,
oasis_patch_embed,tokens-256/a94f3fdf,PASS,0.8797042155415423,0.2739829942584038,0.3114489954896271,0.1562500149011612,9.072884131455794e-05,
oasis_spatial_axial_attention,tokens-4/0c10e1f3,PASS,0.9099863798699613,0.6059490115148947,0.6658880010945722,0.0029592805076390505,1.8043958789348835e-06,
oasis_spatial_axial_attention,tokens-4/622f8c6f,PASS,0.9744384511854074,0.5674730055034161,0.5823590036015958,0.0029592805076390505,1.7915773469212581e-06,
